i,j,vm_mrs,mem_mrs,backoff_mrs
47,41,55688,8,0
40,17,48583,7,0
40,24,47674,8,0
17,16,50773,8,0
49,37,1671111,312,1498
75,11,43765,9,0
79,17,40596,8,0
73,47,49424,8,0
100,52,47317,7,0
86,71,504489,101,1857
42,6,350499,66,238
99,80,39667,8,0
38,10,51748,9,0
83,31,691337,209,2211
80,11,42594,9,0
89,81,48785,8,0
77,31,46990,8,0
83,13,449539,71,376
61,38,366986,53,714
69,66,49146,35,0
38,5,38248,8,0
46,32,48478,8,0
9,6,322264,58,283
90,61,59647,8,0
44,5,45110,10,0
88,9,564465,97,4918
91,18,50246,8,0
69,26,48237,10,0
36,14,52869,9,0
79,56,46396,8,0
86,69,491991,130,815
73,38,43434,9,0
59,19,338053,77,258
94,34,43511,8,0
80,17,55324,11,0
87,82,47454,7,0
58,34,381557,60,851
22,12,563964,112,447
27,10,48838,8,0
28,12,47527,8,0
45,36,44362,10,0
65,6,53066,7,0
13,1,55224,10,0
51,47,231133,45,409
47,43,50371,9,0
82,11,690453,132,707
67,2,374852,105,589
95,30,39616,10,0
99,67,44950,11,0
91,89,48983,9,0
63,45,319792,75,231
57,15,387630,67,623
56,21,100507,15,34
70,7,43710,8,0
56,51,48104,7,0
72,51,151225,24,85
48,17,97720,21,54
97,77,53709,8,0
50,9,53816,12,0
27,21,53042,7,0
86,24,111168,18,105
29,22,47610,8,0
71,62,44454,8,0
97,18,45423,7,0
33,13,45820,8,0
50,4,44356,9,0
88,72,624173,108,476
64,30,402149,96,2039
35,4,48591,9,0
88,56,403272,100,998
37,33,47329,8,0
99,70,44003,8,0
77,71,48131,9,0
77,69,85991,8,0
92,75,41025,8,0
83,57,45414,7,0
80,64,248240,54,5340
86,85,50899,11,0
39,21,44698,8,0
35,27,50864,8,0
13,4,37248,11,0
82,37,46288,5,0
88,7,145827,25,74
87,19,208471,48,161
98,37,43923,8,0
57,25,321596,60,243
98,80,58675,11,0
76,12,50132,8,0
24,18,552227,113,367
80,19,52831,8,0
21,3,383800,87,269
49,31,46743,7,0
89,10,58631,8,0
60,20,1110935,335,2245
40,27,49404,8,0
51,45,48423,10,0
43,13,593261,107,394
86,63,226512,37,213
84,16,256843,56,354
99,35,55289,9,0
85,4,750189,722,1469
73,59,46549,8,0
62,26,629231,123,820
83,32,797706,146,1839
51,21,44191,8,0
65,33,698379,125,911
41,14,46108,10,0
93,52,68108,11,0
82,24,697980,173,594
76,50,111797,16,45
45,32,43783,9,0
82,9,45003,10,0
83,63,416374,103,308
98,88,57273,8,0
99,79,38514,8,0
99,62,44391,9,0
77,24,45974,8,0
79,49,47192,7,0
58,47,471408,91,377
87,27,414631,79,1123
